Buchungsnummer;Kennzeichen;S_Id;Stationsname;Fahrzeugsteller;Abrechnungsmonat;Buchungsstatus;Buchungsbeginn;Buchungsende;Fahrtbeginn;Fahrtende;Stornierung;Buchungsdauer_std;Fahrtdauer_std;KM;Tarif;Nutzungskategorie;PC_Id;Preiskomponente;Zahlungsstatus;Zeitkosten;Zeitkosten_nach_Guthaben;KM_Kosten;KM_Kosten_nach_Guthaben;Buchungsgebuehr;Spaetrueckgabegebuehr;Fahrtkosten;Fahrtkosten_nach_Guthaben
R000004;R-CA 107E;4;Sinzing;Sinzing / C112;2025-01;cancelled;12.02.2025 11:45;12.02.2025 12:45;;;09.01.2025 12:50;1;;;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000015;R-CA 107E;4;Sinzing;Sinzing / C112;2025-01;finished;27.01.2025 08:00;30.01.2025 15:00;27.01.2025 08:56;29.01.2025 14:31;;79;53,57;56.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000025;R-CA 107E;4;Sinzing;Sinzing / C112;2025-02;finished;06.02.2025 07:00;06.02.2025 18:00;06.02.2025 08:37;06.02.2025 14:35;;11;5,95;29.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000037;R-CA 107E;4;Sinzing;Sinzing / C112;2025-01;cancelled;24.01.2025 11:00;24.01.2025 13:00;;;17.01.2025 18:07;2;;;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;0;0;0;0;0;0;0;0
R000050;R-CA 107E;4;Sinzing;Sinzing / C112;2025-01;finished;16.01.2025 16:45;16.01.2025 19:45;16.01.2025 16:47;16.01.2025 18:32;;3;1,75;74.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;5,71;5,71;14,06;14,06;2,5;0;22,27;0
R000051;R-CA 107E;4;Sinzing;Sinzing / C112;2025-01;finished;18.01.2025 09:00;18.01.2025 15:00;18.01.2025 08:49;18.01.2025 13:06;;6;4,28;47.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;12,63;12,63;8,93;8,93;2,5;0;24,06;0
R000198;R-CA 107E;4;Sinzing;Sinzing / C112;2025-02;finished;04.02.2025 09:30;04.02.2025 12:45;04.02.2025 09:48;04.02.2025 12:40;;3,25;2,87;101.0;Studierenden-Tarif ;Privatkunden;2;CARL;Keine Zahlung;8;8;19,19;19,19;2,5;0;29,69;0
R000199;R-CA 107E;4;Sinzing;Sinzing / C112;2025-02;cancelled;04.02.2025 15:00;04.02.2025 16:30;;;04.02.2025 14:58;1,5;;;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;0;0;0;0;0;0;0;0
R000244;R-CA 107E;4;Sinzing;Sinzing / C112;2025-02;finished;09.02.2025 14:45;09.02.2025 16:00;09.02.2025 14:37;09.02.2025 15:23;;1,25;0,77;31.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;2,54;2,54;5,89;5,89;2,5;0;10,93;0
R000245;R-CA 107E;4;Sinzing;Sinzing / C112;2025-02;finished;10.02.2025 13:00;10.02.2025 14:00;10.02.2025 12:59;10.02.2025 13:38;;1;0,65;21.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;1,96;1,96;3,99;3,99;2,5;0;8,45;0
