Stationsname,Jahr,Monat,JahrMonat,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Pettendorf,2025,1,2025-01,1,10.4,49.0,38.14,38.14
Pettendorf,2025,4,2025-04,2,12.100000000000001,157.0,66.21,66.21
Pettendorf,2025,5,2025-05,4,19.59,249.0,117.64,107.64
Pettendorf,2025,6,2025-06,5,23.43,274.0,122.4,122.4
Pettendorf,2025,7,2025-07,11,78.59,703.0,358.46000000000004,358.46000000000004
Pettendorf,2025,8,2025-08,4,71.99000000000001,404.0,223.18,223.18
Pettendorf,2025,9,2025-09,2,18.3,230.0,90.16,90.16
Pettendorf,2025,11,2025-11,2,5.33,63.0,31.09,31.09
Pettendorf,2025,12,2025-12,4,13.79,152.0,73.92,73.92
Pettendorf,2026,1,2026-01,1,5.73,87.0,31.36,31.36
Pettendorf,2026,3,2026-03,0,0.0,0.0,0.0,0.0
Pettendorf,2026,4,2026-04,0,0.0,0.0,0.0,0.0
Pettendorf,2026,5,2026-05,0,0.0,0.0,0.0,0.0
Pettendorf,2026,6,2026-06,3,0.0,79.0,0.0,0.0
Regenstauf,2025,1,2025-01,2,12.690000000000001,157.0,67.03999999999999,19.55
Regenstauf,2025,2,2025-02,8,32.89,968.0,318.3,232.79000000000002
Regenstauf,2025,3,2025-03,13,97.82000000000001,2118.0,666.74,573.22
Regenstauf,2025,4,2025-04,10,30.54,405.0,192.07999999999998,112.52000000000001
Regenstauf,2025,5,2025-05,8,56.95,520.0,263.14,238.64
Regenstauf,2025,6,2025-06,17,70.0,1976.0,623.15,583.15
Regenstauf,2025,7,2025-07,18,61.21,1306.0,420.43,380.43
Regenstauf,2025,8,2025-08,9,100.97999999999999,1140.0,470.56,452.81
Regenstauf,2025,9,2025-09,9,63.620000000000005,1667.0,478.85,428.85
Regenstauf,2025,10,2025-10,10,38.5,868.0,305.27,271.82
Regenstauf,2025,11,2025-11,15,64.03,974.0,392.63,362.63
Regenstauf,2025,12,2025-12,9,23.12,374.0,166.94,126.94
Regenstauf,2026,1,2026-01,8,28.68,534.0,218.59,193.69
Regenstauf,2026,2,2026-02,5,20.18,612.0,184.07,154.07
Regenstauf,2026,3,2026-03,20,58.27,2662.0,815.3,387.65
Regenstauf,2026,4,2026-04,8,0.0,390.0,170.85,0.0
Regenstauf,2026,5,2026-05,10,0.0,1245.0,499.92,0.0
Regenstauf,2026,6,2026-06,8,0.0,427.0,0.0,0.0
Schierling,2025,1,2025-01,3,13.26,497.0,138.3,78.3
Schierling,2025,2,2025-02,1,2.8,45.0,18.05,0.0
